id_produto,nome,descricao,valor_padrao,categoria,ativo
PROD-0123,"Clorex 2% 1L,,1047,INSUMOS,0.000000,,R$ 19.84,,,,,,3202391,true",,0.00,outro,sim
PROD-0124,"Germi rio 5L,,1061,INSUMOS,0.000000,,R$ 58.70,,,,,,3202391,true",,0.00,outro,sim
PROD-0125,"Campo Esteril 70x70,,1045,INSUMOS,0.000000,,R$ 4.91,,,,,,3202391,true",,0.00,outro,sim
PROD-0126,"Escalpe 23G,,1058,INSUMOS,0.000000,,R$ 0.54,,,,,,3202391,true",,0.00,outro,sim
PROD-0127,"Jelco 20,,1062,INSUMOS,0.000000,,R$ 4.19,,,,,,3202391,true",,0.00,outro,sim
PROD-0128,"Detergente EnzimÃ¡tico,,1050,INSUMOS,0.000000,,R$ 28.84,,,,,,3202391,true",,0.00,outro,sim
PROD-0129,"Embalagem autoclavante G (24x38),,1052,INSUMOS,0.000000,,R$ 0.95,,,,,,3202391,true",,0.00,outro,sim
PROD-0130,"Escalpe 21G,,1057,INSUMOS,0.000000,,R$ 0.54,,,,,,3202391,true",,0.00,outro,sim
PROD-0131,"PUNCH HARD SHARK SERRILHADO 3.5X0.85MM,,PU0151,Material de Uso e Consumo,0.000000,,R$ 0.00,,,,90185090,,3202391,true",,0.00,outro,sim
PROD-0132,"PUNCH HARD SHARK SERRILHADO 3.5X0.9MM,,PU0116,Material de Uso e Consumo,0.000000,,R$ 0.00,,,,90185090,,3202391,true",,0.00,outro,sim
PROD-0133,"PUNCH HARD SHARK SERRILHADO 3.5X0.95MM,,PU0118,Material de Uso e Consumo,0.000000,,R$ 0.00,,,,90185090,,3202391,true",,0.00,outro,sim
PROD-0134,"PUNCH HARD SHARK TROMPETE 3.5X1.0MM,,PU0184,Material de Uso e Consumo,0.000000,,R$ 0.00,,,,90185090,,3202391,true",,0.00,outro,sim
PROD-0135,"Prestobarba,,PREST1,INSUMOS,0.000000,R$ 0.00,R$ 0.00,,,,,,3202391,true",,0.00,outro,sim
PROD-0136,"Consulta,,,Outras,,,,,,,,,3202391,true",,0.00,outro,sim
PROD-0137,"PUNCH HARD SHARK TROMPETE 3.5X1.1MM,,PU0185,Material de Uso e Consumo,0.000000,,R$ 0.00,,,,90185090,,3202391,true",,0.00,outro,sim
PROD-0138,"LAMINA PRE INCISAO ANG. 45  1.0MM,,LA0022,Material de Uso e Consumo,0.000000,R$ 0.00,R$ 0.00,,,,90185090,,3202391,true",,0.00,outro,sim
PROD-0139,"LAMINA PRE INCISAO ANG. 45 1.2MM,,LA0023,Material de Uso e Consumo,0.000000,R$ 0.00,R$ 0.00,,,,90185090,,3202391,true",,0.00,outro,sim
PROD-0140,"Botox,,BOTOX1,Outras,-2.000000,,R$ 0.00,,,,,,3202391,true",,0.00,outro,sim
